Vardas           Pavarde            Egzaminas ND1       ND2       ND3       ND4       ND5       
Vardenis1801     Pavardenis1801     10        5         3         9         10        2         
Vardenis1802     Pavardenis1802     10        2         9         10        9         7         
Vardenis1803     Pavardenis1803     8         4         4         10        1         8         
Vardenis1804     Pavardenis1804     9         2         3         3         1         2         
Vardenis1805     Pavardenis1805     4         4         5         7         2         9         
Vardenis1806     Pavardenis1806     3         10        9         5         3         10        
Vardenis1807     Pavardenis1807     9         10        3         4         5         4         
Vardenis1808     Pavardenis1808     5         2         2         5         4         5         
Vardenis1809     Pavardenis1809     7         1         2         9         3         9         
Vardenis1810     Pavardenis1810     2         10        5         5         3         10        
Vardenis1811     Pavardenis1811     5         3         1         10        1         10        
Vardenis1812     Pavardenis1812     6         9         1         4         6         6         
Vardenis1813     Pavardenis1813     3         10        9         7         2         8         
Vardenis1814     Pavardenis1814     9         6         8         1         3         2         
Vardenis1815     Pavardenis1815     8         7         6         8         3         1         
Vardenis1816     Pavardenis1816     3         9         6         1         6         4         
Vardenis1817     Pavardenis1817     5         2         5         8         3         9         
Vardenis1818     Pavardenis1818     5         3         10        2         6         4         
Vardenis1819     Pavardenis1819     3         10        1         4         5         6         
Vardenis1820     Pavardenis1820     7         6         4         2         1         5         
Vardenis1821     Pavardenis1821     9         5         9         6         10        3         
Vardenis1822     Pavardenis1822     2         10        7         2         7         8         
Vardenis1823     Pavardenis1823     8         5         5         1         2         10        
Vardenis1824     Pavardenis1824     9         4         7         1         4         8         
Vardenis1825     Pavardenis1825     6         8         2         1         8         10        
Vardenis1826     Pavardenis1826     5         2         5         8         10        10        
Vardenis1827     Pavardenis1827     2         8         8         9         2         2         
Vardenis1828     Pavardenis1828     3         3         8         1         8         1         
Vardenis1829     Pavardenis1829     5         9         9         1         1         4         
Vardenis1830     Pavardenis1830     10        5         1         8         10        5         
Vardenis1831     Pavardenis1831     7         2         9         1         10        6         
Vardenis1832     Pavardenis1832     2         8         6         6         1         5         
Vardenis1833     Pavardenis1833     5         5         6         1         4         10        
Vardenis1834     Pavardenis1834     6         1         6         3         1         3         
Vardenis1835     Pavardenis1835     4         5         10        2         9         6         
Vardenis1836     Pavardenis1836     7         6         8         10        4         8         
Vardenis1837     Pavardenis1837     5         2         8         2         2         8         
Vardenis1838     Pavardenis1838     9         2         2         8         5         6         
Vardenis1839     Pavardenis1839     4         1         7         2         10        5         
Vardenis1840     Pavardenis1840     5         10        8         4         5         2         
Vardenis1841     Pavardenis1841     8         6         8         7         1         6         
Vardenis1842     Pavardenis1842     1         6         5         10        2         8         
Vardenis1843     Pavardenis1843     7         4         4         3         4         2         
Vardenis1844     Pavardenis1844     1         2         8         9         3         8         
Vardenis1845     Pavardenis1845     2         6         4         6         9         9         
Vardenis1846     Pavardenis1846     5         4         4         4         4         6         
Vardenis1847     Pavardenis1847     4         8         6         7         8         2         
Vardenis1848     Pavardenis1848     3         9         3         5         5         8         
Vardenis1849     Pavardenis1849     5         7         6         7         8         1         
Vardenis1850     Pavardenis1850     4         9         6         9         9         3         
Vardenis1851     Pavardenis1851     2         9         8         7         8         7         
Vardenis1852     Pavardenis1852     3         5         7         5         7         5         
Vardenis1853     Pavardenis1853     9         8         2         10        9         5         
Vardenis1854     Pavardenis1854     9         6         7         6         10        2         
Vardenis1855     Pavardenis1855     6         3         6         3         1         3         
Vardenis1856     Pavardenis1856     2         3         7         5         3         9         
Vardenis1857     Pavardenis1857     8         8         8         5         9         10        
Vardenis1858     Pavardenis1858     10        5         7         7         4         1         
Vardenis1859     Pavardenis1859     9         5         5         10        4         3         
Vardenis1860     Pavardenis1860     9         9         8         3         7         8         
Vardenis1861     Pavardenis1861     6         9         9         10        3         4         
Vardenis1862     Pavardenis1862     5         9         7         8         10        6         
Vardenis1863     Pavardenis1863     3         8         9         2         5         3         
Vardenis1864     Pavardenis1864     8         2         5         1         3         3         
Vardenis1865     Pavardenis1865     9         1         8         4         3         5         
Vardenis1866     Pavardenis1866     10        9         1         1         9         7         
Vardenis1867     Pavardenis1867     8         1         2         2         1         8         
Vardenis1868     Pavardenis1868     7         7         3         6         7         6         
Vardenis1869     Pavardenis1869     6         5         5         9         10        2         
Vardenis1870     Pavardenis1870     4         7         8         10        10        8         
Vardenis1871     Pavardenis1871     5         10        5         8         3         4         
Vardenis1872     Pavardenis1872     5         7         8         5         4         8         
Vardenis1873     Pavardenis1873     8         9         5         5         5         8         
Vardenis1874     Pavardenis1874     9         1         5         7         7         5         
Vardenis1875     Pavardenis1875     10        1         10        2         5         7         
Vardenis1876     Pavardenis1876     5         3         4         10        10        3         
Vardenis1877     Pavardenis1877     8         2         4         9         2         8         
Vardenis1878     Pavardenis1878     4         3         10        2         2         8         
Vardenis1879     Pavardenis1879     10        5         1         1         8         4         
Vardenis1880     Pavardenis1880     1         2         6         4         6         10        
Vardenis1881     Pavardenis1881     8         6         1         2         10        7         
Vardenis1882     Pavardenis1882     5         8         6         5         7         4         
Vardenis1883     Pavardenis1883     9         7         10        8         1         6         
Vardenis1884     Pavardenis1884     6         8         1         1         8         4         
Vardenis1885     Pavardenis1885     6         6         3         8         6         5         
Vardenis1886     Pavardenis1886     9         4         7         3         5         10        
Vardenis1887     Pavardenis1887     4         6         2         4         4         5         
Vardenis1888     Pavardenis1888     10        7         6         9         1         1         
Vardenis1889     Pavardenis1889     6         9         3         10        2         3         
Vardenis1890     Pavardenis1890     7         7         2         4         8         6         
Vardenis1891     Pavardenis1891     8         6         6         5         2         7         
Vardenis1892     Pavardenis1892     5         8         8         8         2         4         
Vardenis1893     Pavardenis1893     7         8         4         1         8         5         
Vardenis1894     Pavardenis1894     9         9         9         1         7         7         
Vardenis1895     Pavardenis1895     8         8         7         7         1         8         
Vardenis1896     Pavardenis1896     9         6         8         2         10        2         
Vardenis1897     Pavardenis1897     4         6         5         5         5         3         
Vardenis1898     Pavardenis1898     8         6         6         7         7         3         
Vardenis1899     Pavardenis1899     2         7         8         9         10        4         
Vardenis1900     Pavardenis1900     7         5         3         3         6         9         
Vardenis1901     Pavardenis1901     4         6         3         2         4         10        
Vardenis1902     Pavardenis1902     6         10        5         3         7         6         
Vardenis1903     Pavardenis1903     9         5         7         5         7         9         
Vardenis1904     Pavardenis1904     2         5         5         2         3         8         
Vardenis1905     Pavardenis1905     3         10        10        6         5         7         
Vardenis1906     Pavardenis1906     7         2         2         4         1         2         
Vardenis1907     Pavardenis1907     1         8         7         8         6         4         
Vardenis1908     Pavardenis1908     6         4         6         7         1         4         
Vardenis1909     Pavardenis1909     4         5         3         1         5         5         
Vardenis1910     Pavardenis1910     5         2         8         7         10        3         
Vardenis1911     Pavardenis1911     7         4         6         1         8         3         
Vardenis1912     Pavardenis1912     10        6         8         7         7         10        
Vardenis1913     Pavardenis1913     1         2         7         10        2         9         
Vardenis1914     Pavardenis1914     9         8         4         10        5         8         
Vardenis1915     Pavardenis1915     6         7         10        10        6         2         
Vardenis1916     Pavardenis1916     2         3         9         10        6         9         
Vardenis1917     Pavardenis1917     1         5         1         8         1         1         
Vardenis1918     Pavardenis1918     9         7         7         1         2         2         
Vardenis1919     Pavardenis1919     10        4         8         8         7         7         
Vardenis1920     Pavardenis1920     6         5         1         5         8         7         
Vardenis1921     Pavardenis1921     7         5         5         2         2         3         
Vardenis1922     Pavardenis1922     2         4         2         10        2         5         
Vardenis1923     Pavardenis1923     5         2         8         5         9         8         
Vardenis1924     Pavardenis1924     4         8         6         5         7         2         
Vardenis1925     Pavardenis1925     4         4         2         6         7         2         
Vardenis1926     Pavardenis1926     10        9         5         5         1         2         
Vardenis1927     Pavardenis1927     3         10        5         6         1         10        
Vardenis1928     Pavardenis1928     4         8         2         9         9         8         
Vardenis1929     Pavardenis1929     9         5         1         2         9         2         
Vardenis1930     Pavardenis1930     7         5         4         3         3         7         
Vardenis1931     Pavardenis1931     10        4         3         9         7         2         
Vardenis1932     Pavardenis1932     6         2         3         7         7         4         
Vardenis1933     Pavardenis1933     5         7         9         9         7         3         
Vardenis1934     Pavardenis1934     2         6         4         9         1         7         
Vardenis1935     Pavardenis1935     8         7         3         10        6         4         
Vardenis1936     Pavardenis1936     6         5         3         4         7         8         
Vardenis1937     Pavardenis1937     1         7         4         2         7         8         
Vardenis1938     Pavardenis1938     7         9         4         3         7         7         
Vardenis1939     Pavardenis1939     8         2         7         7         5         6         
Vardenis1940     Pavardenis1940     5         10        3         9         8         9         
Vardenis1941     Pavardenis1941     8         1         6         5         3         7         
Vardenis1942     Pavardenis1942     10        7         8         6         3         9         
Vardenis1943     Pavardenis1943     9         5         3         6         7         1         
Vardenis1944     Pavardenis1944     3         5         4         2         5         6         
Vardenis1945     Pavardenis1945     6         4         6         4         7         3         
Vardenis1946     Pavardenis1946     7         2         4         2         10        10        
Vardenis1947     Pavardenis1947     7         2         5         6         1         1         
Vardenis1948     Pavardenis1948     7         9         8         1         8         1         
Vardenis1949     Pavardenis1949     4         9         9         2         1         6         
Vardenis1950     Pavardenis1950     5         1         4         5         7         3         
Vardenis1951     Pavardenis1951     1         5         9         5         8         1         
Vardenis1952     Pavardenis1952     9         5         6         3         5         1         
Vardenis1953     Pavardenis1953     8         5         7         9         6         10        
Vardenis1954     Pavardenis1954     6         6         10        7         10        8         
Vardenis1955     Pavardenis1955     2         4         1         4         4         2         
Vardenis1956     Pavardenis1956     3         8         9         10        6         8         
Vardenis1957     Pavardenis1957     1         2         2         7         7         5         
Vardenis1958     Pavardenis1958     5         4         2         9         9         5         
Vardenis1959     Pavardenis1959     6         10        4         5         3         3         
Vardenis1960     Pavardenis1960     7         7         3         1         8         3         
Vardenis1961     Pavardenis1961     8         3         4         3         9         4         
Vardenis1962     Pavardenis1962     1         10        8         2         2         4         
Vardenis1963     Pavardenis1963     8         3         3         6         2         9         
Vardenis1964     Pavardenis1964     2         9         7         4         6         7         
Vardenis1965     Pavardenis1965     8         3         4         9         5         10        
Vardenis1966     Pavardenis1966     9         6         3         5         3         5         
Vardenis1967     Pavardenis1967     1         8         1         10        9         3         
Vardenis1968     Pavardenis1968     1         4         2         6         7         2         
Vardenis1969     Pavardenis1969     10        8         2         5         2         10        
Vardenis1970     Pavardenis1970     6         1         2         2         3         6         
Vardenis1971     Pavardenis1971     6         2         8         5         2         3         
Vardenis1972     Pavardenis1972     10        6         6         6         2         3         
Vardenis1973     Pavardenis1973     3         8         6         5         7         1         
Vardenis1974     Pavardenis1974     6         2         10        10        1         1         
Vardenis1975     Pavardenis1975     4         9         3         7         10        4         
Vardenis1976     Pavardenis1976     6         1         10        9         3         9         
Vardenis1977     Pavardenis1977     8         2         3         4         8         9         
Vardenis1978     Pavardenis1978     2         2         5         3         8         7         
Vardenis1979     Pavardenis1979     3         6         7         2         6         8         
Vardenis1980     Pavardenis1980     3         9         3         5         9         3         
Vardenis1981     Pavardenis1981     4         1         4         8         6         4         
Vardenis1982     Pavardenis1982     6         8         4         7         6         8         
Vardenis1983     Pavardenis1983     6         7         5         4         7         9         
Vardenis1984     Pavardenis1984     7         3         7         2         9         9         
Vardenis1985     Pavardenis1985     3         10        3         4         4         2         
Vardenis1986     Pavardenis1986     4         5         1         4         3         2         
Vardenis1987     Pavardenis1987     7         3         5         7         2         9         
Vardenis1988     Pavardenis1988     1         4         4         7         1         6         
Vardenis1989     Pavardenis1989     10        5         9         7         3         4         
Vardenis1990     Pavardenis1990     5         4         3         6         10        5         
Vardenis1991     Pavardenis1991     4         7         4         2         2         6         
Vardenis1992     Pavardenis1992     1         9         7         7         6         1         
Vardenis1993     Pavardenis1993     10        7         4         5         7         5         
Vardenis1994     Pavardenis1994     10        9         4         4         2         2         
Vardenis1995     Pavardenis1995     1         10        9         9         8         8         
Vardenis1996     Pavardenis1996     8         1         4         7         9         1         
Vardenis1997     Pavardenis1997     5         1         6         2         7         7         
Vardenis1998     Pavardenis1998     10        2         10        2         10        1         
Vardenis1999     Pavardenis1999     4         6         4         8         7         1         
Vardenis2000     Pavardenis2000     10        8         7         6         4         3         
Vardenis2001     Pavardenis2001     8         3         2         5         4         3         
Vardenis2002     Pavardenis2002     4         7         6         4         10        9         
Vardenis2003     Pavardenis2003     9         7         2         6         4         3         
Vardenis2004     Pavardenis2004     6         7         10        4         8         10        
Vardenis2005     Pavardenis2005     2         2         9         6         9         5         
Vardenis2006     Pavardenis2006     6         3         1         2         1         3         
Vardenis2007     Pavardenis2007     6         6         4         10        9         2         
Vardenis2008     Pavardenis2008     10        3         4         10        8         10        
Vardenis2009     Pavardenis2009     10        8         8         2         10        7         
Vardenis2010     Pavardenis2010     6         5         1         8         8         4         
Vardenis2011     Pavardenis2011     2         8         3         9         1         8         
Vardenis2012     Pavardenis2012     4         5         3         10        9         10        
Vardenis2013     Pavardenis2013     2         6         4         10        1         3         
Vardenis2014     Pavardenis2014     2         4         5         1         1         4         
Vardenis2015     Pavardenis2015     4         4         10        10        4         6         
Vardenis2016     Pavardenis2016     7         3         8         7         10        3         
Vardenis2017     Pavardenis2017     3         10        7         7         1         3         
Vardenis2018     Pavardenis2018     2         4         6         9         6         8         
Vardenis2019     Pavardenis2019     1         4         6         2         2         8         
Vardenis2020     Pavardenis2020     8         5         6         9         5         8         
Vardenis2021     Pavardenis2021     4         2         6         8         5         7         
Vardenis2022     Pavardenis2022     3         7         2         2         1         6         
Vardenis2023     Pavardenis2023     7         4         7         5         10        6         
Vardenis2024     Pavardenis2024     10        8         4         3         1         10        
Vardenis2025     Pavardenis2025     1         1         3         2         7         1         
Vardenis2026     Pavardenis2026     4         6         5         8         4         8         
Vardenis2027     Pavardenis2027     9         6         7         9         9         10        
Vardenis2028     Pavardenis2028     9         4         4         6         7         3         
Vardenis2029     Pavardenis2029     10        3         7         1         3         8         
Vardenis2030     Pavardenis2030     1         4         5         8         5         7         
Vardenis2031     Pavardenis2031     7         9         7         10        2         10        
Vardenis2032     Pavardenis2032     8         1         1         1         5         3         
Vardenis2033     Pavardenis2033     10        10        9         6         1         4         
Vardenis2034     Pavardenis2034     9         2         2         8         9         3         
Vardenis2035     Pavardenis2035     3         10        2         9         5         10        
Vardenis2036     Pavardenis2036     8         3         9         7         4         7         
Vardenis2037     Pavardenis2037     3         7         8         2         6         2         
Vardenis2038     Pavardenis2038     2         8         3         3         6         8         
Vardenis2039     Pavardenis2039     4         10        3         6         7         8         
Vardenis2040     Pavardenis2040     7         8         9         2         5         10        
Vardenis2041     Pavardenis2041     8         3         2         5         1         10        
Vardenis2042     Pavardenis2042     10        1         3         7         3         1         
Vardenis2043     Pavardenis2043     3         10        3         3         7         7         
Vardenis2044     Pavardenis2044     6         9         9         4         7         8         
Vardenis2045     Pavardenis2045     2         7         2         2         10        5         
Vardenis2046     Pavardenis2046     1         9         2         3         3         5         
Vardenis2047     Pavardenis2047     10        6         5         5         6         9         
Vardenis2048     Pavardenis2048     10        10        1         1         6         7         
Vardenis2049     Pavardenis2049     7         1         4         5         1         6         
Vardenis2050     Pavardenis2050     7         9         4         4         10        1         
Vardenis2051     Pavardenis2051     8         10        9         8         2         7         
Vardenis2052     Pavardenis2052     5         4         10        8         1         3         
Vardenis2053     Pavardenis2053     5         5         8         10        7         1         
Vardenis2054     Pavardenis2054     1         4         4         5         5         3         
Vardenis2055     Pavardenis2055     7         1         2         3         2         4         
Vardenis2056     Pavardenis2056     5         8         8         1         1         7         
Vardenis2057     Pavardenis2057     4         3         10        9         8         10        
Vardenis2058     Pavardenis2058     3         4         10        7         9         3         
Vardenis2059     Pavardenis2059     4         8         7         6         1         4         
Vardenis2060     Pavardenis2060     5         3         8         3         7         8         
Vardenis2061     Pavardenis2061     8         5         6         4         8         2         
Vardenis2062     Pavardenis2062     5         2         1         6         4         9         
Vardenis2063     Pavardenis2063     6         4         8         8         3         8         
Vardenis2064     Pavardenis2064     6         6         2         1         10        8         
Vardenis2065     Pavardenis2065     9         6         1         10        4         9         
Vardenis2066     Pavardenis2066     10        2         9         7         2         7         
Vardenis2067     Pavardenis2067     2         4         8         6         4         8         
Vardenis2068     Pavardenis2068     10        10        6         10        4         1         
Vardenis2069     Pavardenis2069     10        8         1         3         5         7         
Vardenis2070     Pavardenis2070     5         10        2         2         1         2         
Vardenis2071     Pavardenis2071     1         4         6         6         3         10        
Vardenis2072     Pavardenis2072     5         2         10        4         10        3         
Vardenis2073     Pavardenis2073     8         8         3         7         6         2         
Vardenis2074     Pavardenis2074     8         5         4         7         7         3         
Vardenis2075     Pavardenis2075     7         1         10        7         9         3         
Vardenis2076     Pavardenis2076     8         8         3         10        1         7         
Vardenis2077     Pavardenis2077     9         3         6         8         5         9         
Vardenis2078     Pavardenis2078     1         2         3         2         2         4         
Vardenis2079     Pavardenis2079     1         4         3         7         9         6         
Vardenis2080     Pavardenis2080     7         6         3         9         5         10        
Vardenis2081     Pavardenis2081     10        1         8         2         8         8         
Vardenis2082     Pavardenis2082     10        9         6         2         4         9         
Vardenis2083     Pavardenis2083     10        1         9         2         3         4         
Vardenis2084     Pavardenis2084     1         6         4         3         9         4         
Vardenis2085     Pavardenis2085     6         8         8         7         3         4         
Vardenis2086     Pavardenis2086     4         1         6         4         8         9         
Vardenis2087     Pavardenis2087     7         8         8         6         1         1         
Vardenis2088     Pavardenis2088     9         2         7         10        2         5         
Vardenis2089     Pavardenis2089     10        9         6         3         3         2         
Vardenis2090     Pavardenis2090     3         5         2         8         6         3         
Vardenis2091     Pavardenis2091     6         10        2         1         2         3         
Vardenis2092     Pavardenis2092     8         3         6         5         8         9         
Vardenis2093     Pavardenis2093     1         6         2         1         3         3         
Vardenis2094     Pavardenis2094     8         10        1         1         10        1         
Vardenis2095     Pavardenis2095     10        10        1         3         2         8         
Vardenis2096     Pavardenis2096     8         4         8         9         2         3         
Vardenis2097     Pavardenis2097     10        5         8         8         5         1         
Vardenis2098     Pavardenis2098     1         7         2         7         9         10        
Vardenis2099     Pavardenis2099     5         6         8         7         3         9         
Vardenis2100     Pavardenis2100     8         9         5         3         4         5         
Vardenis2101     Pavardenis2101     7         7         9         1         7         4         
Vardenis2102     Pavardenis2102     10        5         10        4         2         7         
Vardenis2103     Pavardenis2103     2         2         1         6         2         5         
Vardenis2104     Pavardenis2104     8         10        3         2         4         6         
Vardenis2105     Pavardenis2105     7         10        9         5         5         1         
Vardenis2106     Pavardenis2106     8         9         3         5         3         3         
Vardenis2107     Pavardenis2107     4         1         1         6         6         10        
Vardenis2108     Pavardenis2108     6         9         7         3         1         10        
Vardenis2109     Pavardenis2109     4         8         1         9         3         9         
Vardenis2110     Pavardenis2110     7         4         9         3         7         10        
Vardenis2111     Pavardenis2111     3         2         10        9         4         5         
Vardenis2112     Pavardenis2112     10        3         3         1         1         7         
Vardenis2113     Pavardenis2113     1         6         1         9         1         5         
Vardenis2114     Pavardenis2114     6         3         4         10        4         2         
Vardenis2115     Pavardenis2115     8         3         2         10        5         10        
Vardenis2116     Pavardenis2116     2         9         7         8         6         10        
Vardenis2117     Pavardenis2117     1         8         6         3         1         8         
Vardenis2118     Pavardenis2118     10        8         3         2         4         6         
Vardenis2119     Pavardenis2119     9         4         3         2         5         7         
Vardenis2120     Pavardenis2120     10        9         10        1         10        6         
Vardenis2121     Pavardenis2121     5         5         5         6         2         8         
Vardenis2122     Pavardenis2122     6         1         9         7         8         9         
Vardenis2123     Pavardenis2123     1         3         2         5         3         2         
Vardenis2124     Pavardenis2124     3         4         3         2         6         8         
Vardenis2125     Pavardenis2125     1         5         10        5         10        3         
Vardenis2126     Pavardenis2126     7         6         1         5         6         7         
Vardenis2127     Pavardenis2127     3         5         2         4         1         1         
Vardenis2128     Pavardenis2128     1         9         2         8         10        3         
Vardenis2129     Pavardenis2129     5         8         8         2         5         9         
Vardenis2130     Pavardenis2130     10        8         9         2         4         9         
Vardenis2131     Pavardenis2131     7         5         9         9         1         2         
Vardenis2132     Pavardenis2132     7         7         8         4         3         2         
Vardenis2133     Pavardenis2133     10        2         8         2         7         8         
Vardenis2134     Pavardenis2134     3         6         1         3         10        8         
Vardenis2135     Pavardenis2135     9         6         7         1         6         2         
Vardenis2136     Pavardenis2136     6         5         5         8         8         1         
Vardenis2137     Pavardenis2137     9         2         5         10        7         9         
Vardenis2138     Pavardenis2138     10        3         10        4         2         2         
Vardenis2139     Pavardenis2139     2         5         9         2         9         9         
Vardenis2140     Pavardenis2140     6         6         5         4         4         7         
Vardenis2141     Pavardenis2141     7         5         4         8         2         5         
Vardenis2142     Pavardenis2142     3         5         2         4         5         5         
Vardenis2143     Pavardenis2143     6         7         3         1         9         5         
Vardenis2144     Pavardenis2144     5         4         6         4         1         4         
Vardenis2145     Pavardenis2145     4         9         5         7         4         6         
Vardenis2146     Pavardenis2146     6         10        1         10        7         6         
Vardenis2147     Pavardenis2147     6         10        10        2         1         9         
Vardenis2148     Pavardenis2148     6         5         7         9         4         5         
Vardenis2149     Pavardenis2149     1         9         5         5         6         2         
Vardenis2150     Pavardenis2150     9         9         2         8         6         3         
Vardenis2151     Pavardenis2151     9         5         6         1         10        5         
Vardenis2152     Pavardenis2152     4         5         10        2         5         6         
Vardenis2153     Pavardenis2153     1         2         3         5         4         7         
Vardenis2154     Pavardenis2154     5         6         5         1         10        9         
Vardenis2155     Pavardenis2155     8         6         3         9         1         4         
Vardenis2156     Pavardenis2156     5         8         2         5         3         7         
Vardenis2157     Pavardenis2157     1         6         4         8         5         2         
Vardenis2158     Pavardenis2158     2         9         1         8         9         6         
Vardenis2159     Pavardenis2159     6         6         5         5         4         3         
Vardenis2160     Pavardenis2160     5         7         8         6         10        6         
Vardenis2161     Pavardenis2161     3         7         1         2         2         1         
Vardenis2162     Pavardenis2162     6         5         3         8         5         4         
Vardenis2163     Pavardenis2163     3         7         4         7         7         5         
Vardenis2164     Pavardenis2164     3         5         10        2         4         5         
Vardenis2165     Pavardenis2165     2         1         7         5         9         7         
Vardenis2166     Pavardenis2166     1         5         9         2         10        4         
Vardenis2167     Pavardenis2167     4         7         2         2         7         1         
Vardenis2168     Pavardenis2168     7         4         10        6         5         9         
Vardenis2169     Pavardenis2169     6         6         9         1         8         2         
Vardenis2170     Pavardenis2170     6         4         2         10        4         2         
Vardenis2171     Pavardenis2171     10        9         7         5         5         4         
Vardenis2172     Pavardenis2172     5         4         7         8         2         7         
Vardenis2173     Pavardenis2173     7         5         6         2         2         3         
Vardenis2174     Pavardenis2174     3         4         5         8         8         1         
Vardenis2175     Pavardenis2175     6         2         6         9         1         6         
Vardenis2176     Pavardenis2176     1         5         5         4         4         10        
Vardenis2177     Pavardenis2177     4         8         8         10        10        7         
Vardenis2178     Pavardenis2178     6         6         2         2         9         9         
Vardenis2179     Pavardenis2179     2         8         2         6         2         10        
Vardenis2180     Pavardenis2180     7         5         10        3         10        9         
Vardenis2181     Pavardenis2181     9         7         4         9         6         6         
Vardenis2182     Pavardenis2182     10        3         4         2         9         7         
Vardenis2183     Pavardenis2183     2         5         3         10        2         3         
Vardenis2184     Pavardenis2184     10        3         1         8         9         9         
Vardenis2185     Pavardenis2185     7         7         10        3         1         3         
Vardenis2186     Pavardenis2186     10        5         10        4         2         1         
Vardenis2187     Pavardenis2187     1         5         10        3         9         4         
Vardenis2188     Pavardenis2188     5         10        4         4         4         2         
Vardenis2189     Pavardenis2189     7         9         10        5         2         8         
Vardenis2190     Pavardenis2190     7         10        7         2         9         9         
Vardenis2191     Pavardenis2191     10        10        6         9         4         9         
Vardenis2192     Pavardenis2192     9         6         7         3         5         5         
Vardenis2193     Pavardenis2193     10        5         4         9         8         5         
Vardenis2194     Pavardenis2194     4         6         4         2         8         2         
Vardenis2195     Pavardenis2195     5         10        10        6         2         2         
Vardenis2196     Pavardenis2196     4         10        2         3         5         7         
Vardenis2197     Pavardenis2197     7         6         10        3         7         7         
Vardenis2198     Pavardenis2198     5         7         7         8         9         8         
Vardenis2199     Pavardenis2199     10        5         1         4         2         2         
Vardenis2200     Pavardenis2200     3         7         10        9         5         6         
Vardenis2201     Pavardenis2201     1         3         9         8         7         3         
Vardenis2202     Pavardenis2202     5         6         5         10        2         10        
Vardenis2203     Pavardenis2203     4         10        8         6         5         9         
Vardenis2204     Pavardenis2204     5         8         7         3         5         9         
Vardenis2205     Pavardenis2205     6         10        9         1         4         5         
Vardenis2206     Pavardenis2206     3         4         8         5         3         6         
Vardenis2207     Pavardenis2207     3         8         10        7         5         3         
Vardenis2208     Pavardenis2208     4         2         4         1         4         1         
Vardenis2209     Pavardenis2209     9         1         2         4         4         5         
Vardenis2210     Pavardenis2210     4         2         3         2         3         9         
Vardenis2211     Pavardenis2211     6         3         6         9         6         2         
Vardenis2212     Pavardenis2212     5         8         3         4         4         7         
Vardenis2213     Pavardenis2213     6         1         9         9         4         2         
Vardenis2214     Pavardenis2214     1         9         10        7         8         7         
Vardenis2215     Pavardenis2215     5         8         6         4         1         10        
Vardenis2216     Pavardenis2216     2         2         2         3         1         6         
Vardenis2217     Pavardenis2217     1         9         7         4         6         9         
Vardenis2218     Pavardenis2218     7         10        6         7         4         5         
Vardenis2219     Pavardenis2219     3         5         2         4         5         8         
Vardenis2220     Pavardenis2220     1         2         5         1         1         5         
Vardenis2221     Pavardenis2221     6         9         2         4         5         9         
Vardenis2222     Pavardenis2222     2         3         10        6         4         2         
Vardenis2223     Pavardenis2223     2         1         2         1         5         7         
Vardenis2224     Pavardenis2224     6         2         3         6         8         8         
Vardenis2225     Pavardenis2225     8         5         9         6         9         1         
Vardenis2226     Pavardenis2226     2         10        10        8         8         3         
Vardenis2227     Pavardenis2227     7         3         9         2         4         6         
Vardenis2228     Pavardenis2228     7         3         9         6         10        2         
Vardenis2229     Pavardenis2229     10        6         1         7         10        2         
Vardenis2230     Pavardenis2230     8         2         6         7         6         6         
Vardenis2231     Pavardenis2231     8         2         2         10        1         2         
Vardenis2232     Pavardenis2232     10        3         5         7         10        1         
Vardenis2233     Pavardenis2233     8         3         5         9         2         8         
Vardenis2234     Pavardenis2234     4         2         7         10        7         9         
Vardenis2235     Pavardenis2235     7         4         1         8         2         8         
Vardenis2236     Pavardenis2236     9         3         1         2         7         9         
Vardenis2237     Pavardenis2237     4         7         3         1         6         5         
Vardenis2238     Pavardenis2238     1         3         2         10        4         6         
Vardenis2239     Pavardenis2239     7         9         2         7         10        9         
Vardenis2240     Pavardenis2240     8         1         6         2         1         5         
Vardenis2241     Pavardenis2241     9         2         6         10        1         6         
Vardenis2242     Pavardenis2242     6         10        1         3         5         2         
Vardenis2243     Pavardenis2243     9         3         2         4         10        8         
Vardenis2244     Pavardenis2244     2         6         6         1         7         4         
Vardenis2245     Pavardenis2245     4         9         3         10        2         7         
Vardenis2246     Pavardenis2246     2         2         4         7         3         1         
Vardenis2247     Pavardenis2247     10        1         9         1         8         5         
Vardenis2248     Pavardenis2248     5         9         3         10        3         8         
Vardenis2249     Pavardenis2249     8         5         9         8         7         8         
Vardenis2250     Pavardenis2250     2         8         6         1         3         6         
Vardenis2251     Pavardenis2251     2         9         7         5         6         9         
Vardenis2252     Pavardenis2252     3         4         10        8         10        2         
Vardenis2253     Pavardenis2253     3         6         1         8         7         10        
Vardenis2254     Pavardenis2254     8         9         2         6         5         10        
Vardenis2255     Pavardenis2255     5         6         4         5         2         3         
Vardenis2256     Pavardenis2256     3         4         10        7         6         10        
Vardenis2257     Pavardenis2257     6         1         9         10        7         4         
Vardenis2258     Pavardenis2258     3         9         1         1         5         5         
Vardenis2259     Pavardenis2259     10        9         9         7         9         9         
Vardenis2260     Pavardenis2260     5         2         9         3         4         3         
Vardenis2261     Pavardenis2261     7         9         2         10        2         6         
Vardenis2262     Pavardenis2262     4         4         8         9         1         10        
Vardenis2263     Pavardenis2263     8         1         2         4         4         1         
Vardenis2264     Pavardenis2264     1         5         1         9         6         8         
