Vardas           Pavarde            Egzaminas ND1       ND2       ND3       ND4       ND5       
Vardenis498      Pavardenis498      7         6         1         4         1         9         
Vardenis499      Pavardenis499      6         4         1         6         5         5         
Vardenis500      Pavardenis500      8         8         8         5         5         1         
Vardenis501      Pavardenis501      9         1         7         6         5         8         
Vardenis502      Pavardenis502      5         2         5         1         4         8         
Vardenis503      Pavardenis503      4         5         8         7         8         9         
Vardenis504      Pavardenis504      7         4         3         3         7         4         
Vardenis505      Pavardenis505      4         8         10        1         1         1         
Vardenis506      Pavardenis506      8         8         7         1         8         4         
Vardenis507      Pavardenis507      7         4         9         10        6         10        
Vardenis508      Pavardenis508      4         3         7         5         1         10        
Vardenis509      Pavardenis509      1         3         10        2         3         1         
Vardenis510      Pavardenis510      1         1         6         5         7         10        
Vardenis511      Pavardenis511      8         9         7         3         4         9         
Vardenis512      Pavardenis512      1         3         5         1         3         7         
Vardenis513      Pavardenis513      1         4         1         4         5         8         
Vardenis514      Pavardenis514      8         1         3         2         6         2         
Vardenis515      Pavardenis515      3         2         3         1         2         2         
Vardenis516      Pavardenis516      2         4         8         7         5         7         
Vardenis517      Pavardenis517      5         10        10        5         4         3         
Vardenis518      Pavardenis518      2         6         5         10        7         9         
Vardenis519      Pavardenis519      6         4         6         8         9         8         
Vardenis520      Pavardenis520      7         5         4         1         3         9         
Vardenis521      Pavardenis521      7         5         2         4         4         5         
Vardenis522      Pavardenis522      3         5         7         3         2         8         
Vardenis523      Pavardenis523      10        10        8         6         2         4         
Vardenis524      Pavardenis524      4         4         3         5         4         7         
Vardenis525      Pavardenis525      3         10        8         8         9         10        
Vardenis526      Pavardenis526      5         5         7         8         3         7         
Vardenis527      Pavardenis527      1         5         2         2         1         1         
Vardenis528      Pavardenis528      9         2         5         5         5         3         
Vardenis529      Pavardenis529      5         3         9         8         10        10        
Vardenis530      Pavardenis530      10        2         7         9         3         4         
Vardenis531      Pavardenis531      2         5         7         4         3         7         
Vardenis532      Pavardenis532      4         10        1         9         8         8         
Vardenis533      Pavardenis533      1         10        5         4         10        9         
Vardenis534      Pavardenis534      10        9         2         5         4         2         
Vardenis535      Pavardenis535      4         6         5         1         10        1         
Vardenis536      Pavardenis536      2         2         1         10        7         10        
Vardenis537      Pavardenis537      9         6         7         4         4         6         
Vardenis538      Pavardenis538      4         8         5         9         8         10        
Vardenis539      Pavardenis539      9         4         10        8         4         3         
Vardenis540      Pavardenis540      3         10        5         6         9         4         
Vardenis541      Pavardenis541      8         5         5         6         2         7         
Vardenis542      Pavardenis542      10        6         10        1         4         2         
Vardenis543      Pavardenis543      2         10        5         1         7         4         
Vardenis544      Pavardenis544      9         7         1         3         1         8         
Vardenis545      Pavardenis545      10        10        9         10        8         2         
Vardenis546      Pavardenis546      2         4         8         6         1         9         
Vardenis547      Pavardenis547      10        1         4         1         6         10        
Vardenis548      Pavardenis548      2         7         10        7         6         7         
Vardenis549      Pavardenis549      10        6         2         9         10        10        
Vardenis550      Pavardenis550      8         2         10        9         3         6         
Vardenis551      Pavardenis551      5         8         10        4         3         2         
Vardenis552      Pavardenis552      5         10        1         1         10        4         
Vardenis553      Pavardenis553      5         6         6         8         4         8         
Vardenis554      Pavardenis554      7         10        7         8         8         4         
Vardenis555      Pavardenis555      9         6         8         9         3         9         
Vardenis556      Pavardenis556      6         1         9         6         1         9         
Vardenis557      Pavardenis557      3         5         1         1         6         1         
Vardenis558      Pavardenis558      7         1         3         4         4         4         
Vardenis559      Pavardenis559      9         1         6         2         3         7         
Vardenis560      Pavardenis560      2         5         9         2         6         9         
Vardenis561      Pavardenis561      7         10        7         8         7         7         
Vardenis562      Pavardenis562      3         5         9         1         9         9         
Vardenis563      Pavardenis563      4         2         7         8         7         5         
Vardenis564      Pavardenis564      1         4         9         5         2         7         
Vardenis565      Pavardenis565      10        5         4         2         7         3         
Vardenis566      Pavardenis566      1         1         5         5         9         6         
Vardenis567      Pavardenis567      3         3         2         7         3         1         
Vardenis568      Pavardenis568      1         8         2         9         9         10        
Vardenis569      Pavardenis569      5         9         6         3         8         3         
Vardenis570      Pavardenis570      8         2         5         5         4         1         
Vardenis571      Pavardenis571      1         3         2         3         4         5         
Vardenis572      Pavardenis572      10        9         2         4         10        1         
Vardenis573      Pavardenis573      8         1         1         5         2         6         
Vardenis574      Pavardenis574      6         3         6         4         7         3         
Vardenis575      Pavardenis575      3         10        2         5         8         3         
Vardenis576      Pavardenis576      2         2         7         9         7         6         
Vardenis577      Pavardenis577      8         2         1         5         8         3         
Vardenis578      Pavardenis578      1         3         8         4         7         1         
Vardenis579      Pavardenis579      9         3         8         4         2         10        
Vardenis580      Pavardenis580      9         3         6         6         10        7         
Vardenis581      Pavardenis581      4         9         9         10        3         9         
Vardenis582      Pavardenis582      7         10        6         8         1         10        
Vardenis583      Pavardenis583      6         2         4         1         4         9         
Vardenis584      Pavardenis584      6         10        10        2         3         1         
Vardenis585      Pavardenis585      7         8         6         7         9         10        
Vardenis586      Pavardenis586      9         3         5         6         7         4         
Vardenis587      Pavardenis587      5         3         10        5         1         9         
Vardenis588      Pavardenis588      2         7         5         7         5         5         
Vardenis589      Pavardenis589      2         2         7         2         10        6         
Vardenis590      Pavardenis590      9         3         4         10        9         4         
Vardenis591      Pavardenis591      5         9         7         8         9         3         
Vardenis592      Pavardenis592      5         2         10        6         7         4         
Vardenis593      Pavardenis593      3         10        1         1         8         7         
Vardenis594      Pavardenis594      9         9         2         5         9         9         
Vardenis595      Pavardenis595      3         5         6         1         1         7         
Vardenis596      Pavardenis596      5         5         7         1         1         5         
Vardenis597      Pavardenis597      5         6         4         4         4         1         
Vardenis598      Pavardenis598      5         4         10        8         10        8         
Vardenis599      Pavardenis599      7         6         5         1         8         9         
Vardenis600      Pavardenis600      9         6         9         2         7         10        
Vardenis601      Pavardenis601      5         9         10        9         7         2         
Vardenis602      Pavardenis602      5         10        4         8         5         6         
Vardenis603      Pavardenis603      2         1         9         3         8         6         
Vardenis604      Pavardenis604      5         1         7         1         8         4         
Vardenis605      Pavardenis605      7         8         6         4         9         9         
Vardenis606      Pavardenis606      6         8         6         9         7         1         
Vardenis607      Pavardenis607      8         2         10        9         1         3         
Vardenis608      Pavardenis608      7         8         8         2         5         5         
Vardenis609      Pavardenis609      7         6         7         8         2         10        
Vardenis610      Pavardenis610      10        5         8         9         4         8         
Vardenis611      Pavardenis611      7         10        4         2         9         7         
Vardenis612      Pavardenis612      3         9         7         9         5         8         
Vardenis613      Pavardenis613      8         5         9         6         6         1         
Vardenis614      Pavardenis614      9         1         3         1         3         7         
Vardenis615      Pavardenis615      6         9         5         7         3         9         
Vardenis616      Pavardenis616      5         8         3         9         7         1         
Vardenis617      Pavardenis617      5         5         10        10        10        10        
Vardenis618      Pavardenis618      9         8         7         10        9         6         
Vardenis619      Pavardenis619      10        10        8         7         4         1         
Vardenis620      Pavardenis620      6         10        10        1         3         2         
Vardenis621      Pavardenis621      1         1         3         3         2         8         
Vardenis622      Pavardenis622      3         3         3         3         1         3         
Vardenis623      Pavardenis623      3         10        4         1         7         4         
Vardenis624      Pavardenis624      7         3         2         9         1         9         
Vardenis625      Pavardenis625      10        9         4         3         5         10        
Vardenis626      Pavardenis626      10        8         6         3         9         2         
Vardenis627      Pavardenis627      9         10        10        10        6         5         
Vardenis628      Pavardenis628      6         2         2         10        8         7         
Vardenis629      Pavardenis629      2         9         7         5         9         5         
Vardenis630      Pavardenis630      3         3         2         8         7         2         
Vardenis631      Pavardenis631      6         1         10        8         5         10        
Vardenis632      Pavardenis632      8         5         6         8         8         9         
Vardenis633      Pavardenis633      7         2         5         3         3         7         
Vardenis634      Pavardenis634      2         6         2         7         4         1         
Vardenis635      Pavardenis635      2         4         5         5         3         6         
Vardenis636      Pavardenis636      4         10        7         7         3         1         
Vardenis637      Pavardenis637      1         10        1         6         5         8         
Vardenis638      Pavardenis638      6         6         10        8         5         8         
Vardenis639      Pavardenis639      3         3         7         4         4         6         
Vardenis640      Pavardenis640      8         9         7         3         8         9         
Vardenis641      Pavardenis641      9         2         10        3         1         1         
Vardenis642      Pavardenis642      7         6         5         1         2         3         
Vardenis643      Pavardenis643      3         5         2         5         6         8         
Vardenis644      Pavardenis644      9         8         6         8         1         1         
Vardenis645      Pavardenis645      3         5         2         3         10        8         
Vardenis646      Pavardenis646      3         9         3         5         7         7         
Vardenis647      Pavardenis647      6         1         4         4         1         8         
Vardenis648      Pavardenis648      3         9         7         4         10        5         
Vardenis649      Pavardenis649      6         6         7         6         8         6         
Vardenis650      Pavardenis650      10        9         3         10        3         6         
Vardenis651      Pavardenis651      1         8         4         9         3         9         
Vardenis652      Pavardenis652      10        7         2         7         3         10        
Vardenis653      Pavardenis653      4         10        7         7         9         7         
Vardenis654      Pavardenis654      1         1         4         5         3         3         
Vardenis655      Pavardenis655      2         4         8         9         2         6         
Vardenis656      Pavardenis656      6         10        6         2         2         7         
Vardenis657      Pavardenis657      10        5         10        3         10        6         
Vardenis658      Pavardenis658      3         10        3         1         9         10        
Vardenis659      Pavardenis659      4         1         4         3         10        2         
Vardenis660      Pavardenis660      3         3         7         5         8         1         
Vardenis661      Pavardenis661      5         3         6         9         6         3         
Vardenis662      Pavardenis662      2         9         7         7         2         2         
Vardenis663      Pavardenis663      1         3         8         10        8         8         
Vardenis664      Pavardenis664      4         4         6         2         4         6         
Vardenis665      Pavardenis665      10        3         6         6         7         2         
Vardenis666      Pavardenis666      3         10        5         6         3         10        
Vardenis667      Pavardenis667      1         4         4         6         8         1         
Vardenis668      Pavardenis668      6         7         8         2         3         6         
Vardenis669      Pavardenis669      2         8         8         2         6         3         
Vardenis670      Pavardenis670      6         7         7         1         2         2         
Vardenis671      Pavardenis671      9         4         9         7         6         9         
Vardenis672      Pavardenis672      4         3         10        4         9         9         
Vardenis673      Pavardenis673      5         2         7         8         9         4         
Vardenis674      Pavardenis674      10        6         1         1         2         4         
Vardenis675      Pavardenis675      9         9         4         8         4         6         
Vardenis676      Pavardenis676      6         6         5         3         2         8         
Vardenis677      Pavardenis677      3         5         2         3         5         9         
Vardenis678      Pavardenis678      9         9         6         2         7         8         
Vardenis679      Pavardenis679      1         5         1         1         10        8         
Vardenis680      Pavardenis680      10        5         6         1         10        6         
Vardenis681      Pavardenis681      7         7         6         3         6         6         
Vardenis682      Pavardenis682      4         10        4         4         1         6         
Vardenis683      Pavardenis683      4         2         6         1         6         7         
Vardenis684      Pavardenis684      1         8         2         4         6         3         
Vardenis685      Pavardenis685      4         10        8         6         4         10        
Vardenis686      Pavardenis686      3         4         6         10        8         7         
Vardenis687      Pavardenis687      9         3         9         9         1         6         
Vardenis688      Pavardenis688      9         5         10        9         9         4         
Vardenis689      Pavardenis689      5         10        6         7         8         4         
Vardenis690      Pavardenis690      4         1         8         5         2         8         
Vardenis691      Pavardenis691      1         3         2         9         6         9         
Vardenis692      Pavardenis692      2         8         4         8         3         5         
Vardenis693      Pavardenis693      1         9         8         5         1         5         
Vardenis694      Pavardenis694      8         2         8         3         3         8         
Vardenis695      Pavardenis695      1         8         10        1         4         1         
Vardenis696      Pavardenis696      2         4         8         2         6         5         
Vardenis697      Pavardenis697      5         5         10        4         1         1         
Vardenis698      Pavardenis698      4         4         5         9         8         4         
Vardenis699      Pavardenis699      3         9         4         5         9         4         
Vardenis700      Pavardenis700      10        5         2         2         5         8         
Vardenis701      Pavardenis701      2         8         7         4         3         8         
Vardenis702      Pavardenis702      1         2         7         4         3         2         
Vardenis703      Pavardenis703      1         8         5         10        5         10        
Vardenis704      Pavardenis704      9         4         5         7         5         6         
Vardenis705      Pavardenis705      1         3         9         2         10        6         
Vardenis706      Pavardenis706      4         10        10        10        7         6         
Vardenis707      Pavardenis707      3         1         6         3         4         10        
Vardenis708      Pavardenis708      8         9         4         6         3         8         
Vardenis709      Pavardenis709      6         7         3         5         7         8         
Vardenis710      Pavardenis710      1         6         1         4         5         2         
Vardenis711      Pavardenis711      7         5         2         5         3         7         
Vardenis712      Pavardenis712      10        9         5         3         7         9         
Vardenis713      Pavardenis713      2         4         3         6         3         1         
Vardenis714      Pavardenis714      4         5         2         10        5         10        
Vardenis715      Pavardenis715      8         8         1         7         5         5         
Vardenis716      Pavardenis716      1         9         4         1         9         7         
Vardenis717      Pavardenis717      2         6         9         5         1         8         
Vardenis718      Pavardenis718      7         8         9         4         8         4         
Vardenis719      Pavardenis719      7         10        5         7         8         8         
Vardenis720      Pavardenis720      8         10        6         3         4         10        
Vardenis721      Pavardenis721      4         8         7         8         2         4         
Vardenis722      Pavardenis722      2         2         5         3         8         3         
Vardenis723      Pavardenis723      9         5         3         2         1         8         
Vardenis724      Pavardenis724      6         6         9         2         6         7         
Vardenis725      Pavardenis725      10        4         7         6         5         4         
Vardenis726      Pavardenis726      4         5         1         7         3         7         
Vardenis727      Pavardenis727      1         1         1         4         3         3         
Vardenis728      Pavardenis728      8         7         6         10        10        8         
Vardenis729      Pavardenis729      7         1         10        6         9         3         
Vardenis730      Pavardenis730      8         4         4         7         8         4         
Vardenis731      Pavardenis731      3         1         3         4         5         8         
Vardenis732      Pavardenis732      5         4         4         1         8         10        
Vardenis733      Pavardenis733      5         7         6         9         9         1         
Vardenis734      Pavardenis734      2         6         8         2         8         6         
Vardenis735      Pavardenis735      3         1         8         1         10        7         
Vardenis736      Pavardenis736      1         2         3         9         1         10        
Vardenis737      Pavardenis737      6         9         6         8         4         4         
Vardenis738      Pavardenis738      10        2         5         7         3         3         
Vardenis739      Pavardenis739      2         6         6         10        2         7         
Vardenis740      Pavardenis740      3         2         6         1         10        7         
Vardenis741      Pavardenis741      6         1         7         6         1         8         
Vardenis742      Pavardenis742      9         1         6         10        1         1         
Vardenis743      Pavardenis743      6         10        8         10        8         7         
Vardenis744      Pavardenis744      9         8         2         9         6         4         
Vardenis745      Pavardenis745      5         3         5         8         1         10        
Vardenis746      Pavardenis746      10        6         6         6         9         8         
Vardenis747      Pavardenis747      2         2         1         10        5         7         
Vardenis748      Pavardenis748      1         8         9         6         4         5         
Vardenis749      Pavardenis749      7         6         9         6         9         6         
Vardenis750      Pavardenis750      9         4         10        8         10        10        
Vardenis751      Pavardenis751      9         4         6         6         7         1         
Vardenis752      Pavardenis752      9         9         8         4         9         2         
Vardenis753      Pavardenis753      8         9         3         6         4         2         
Vardenis754      Pavardenis754      7         7         7         10        8         6         
Vardenis755      Pavardenis755      1         1         10        8         6         10        
Vardenis756      Pavardenis756      5         10        4         3         6         2         
Vardenis757      Pavardenis757      4         3         4         1         9         5         
Vardenis758      Pavardenis758      3         6         6         6         8         2         
Vardenis759      Pavardenis759      1         10        6         4         10        4         
Vardenis760      Pavardenis760      1         5         6         6         6         3         
Vardenis761      Pavardenis761      2         7         9         3         1         2         
Vardenis762      Pavardenis762      4         8         7         10        8         9         
Vardenis763      Pavardenis763      6         5         10        2         5         8         
Vardenis764      Pavardenis764      7         9         8         10        5         1         
Vardenis765      Pavardenis765      2         10        4         5         9         4         
Vardenis766      Pavardenis766      7         6         10        9         4         9         
Vardenis767      Pavardenis767      7         9         10        9         8         3         
Vardenis768      Pavardenis768      9         1         8         6         5         9         
Vardenis769      Pavardenis769      5         5         7         9         3         2         
Vardenis770      Pavardenis770      5         6         2         7         2         9         
Vardenis771      Pavardenis771      2         2         7         5         2         1         
Vardenis772      Pavardenis772      1         1         5         5         9         3         
Vardenis773      Pavardenis773      9         5         3         6         1         3         
Vardenis774      Pavardenis774      2         1         10        6         7         8         
Vardenis775      Pavardenis775      7         2         9         10        7         6         
Vardenis776      Pavardenis776      4         8         7         2         7         2         
Vardenis777      Pavardenis777      2         9         8         3         5         7         
Vardenis778      Pavardenis778      1         9         2         10        1         4         
Vardenis779      Pavardenis779      6         3         3         9         3         5         
Vardenis780      Pavardenis780      7         4         8         4         3         2         
Vardenis781      Pavardenis781      1         4         7         9         10        5         
Vardenis782      Pavardenis782      3         10        2         4         9         6         
Vardenis783      Pavardenis783      9         9         7         7         9         5         
Vardenis784      Pavardenis784      2         9         4         2         2         8         
Vardenis785      Pavardenis785      10        8         3         6         6         10        
Vardenis786      Pavardenis786      9         6         7         1         1         1         
Vardenis787      Pavardenis787      5         9         3         10        2         9         
Vardenis788      Pavardenis788      6         8         6         1         10        10        
Vardenis789      Pavardenis789      5         4         2         1         10        7         
Vardenis790      Pavardenis790      2         2         4         1         5         6         
Vardenis791      Pavardenis791      1         10        5         2         5         10        
Vardenis792      Pavardenis792      9         5         4         4         4         8         
Vardenis793      Pavardenis793      5         10        5         8         9         1         
Vardenis794      Pavardenis794      4         2         6         1         9         7         
Vardenis795      Pavardenis795      2         6         6         5         2         2         
Vardenis796      Pavardenis796      9         9         3         9         8         5         
Vardenis797      Pavardenis797      10        2         9         4         8         5         
Vardenis798      Pavardenis798      6         9         2         1         8         1         
Vardenis799      Pavardenis799      4         3         7         8         9         6         
Vardenis800      Pavardenis800      2         1         7         7         9         1         
Vardenis801      Pavardenis801      2         10        4         8         2         10        
Vardenis802      Pavardenis802      9         1         8         7         1         2         
Vardenis803      Pavardenis803      2         3         9         9         2         5         
Vardenis804      Pavardenis804      5         2         1         3         5         7         
Vardenis805      Pavardenis805      5         3         5         9         5         8         
Vardenis806      Pavardenis806      6         6         10        1         1         10        
Vardenis807      Pavardenis807      8         2         8         7         1         2         
Vardenis808      Pavardenis808      9         4         7         6         7         1         
Vardenis809      Pavardenis809      3         9         1         1         5         4         
Vardenis810      Pavardenis810      6         6         9         8         6         3         
Vardenis811      Pavardenis811      3         2         3         10        4         1         
Vardenis812      Pavardenis812      7         3         2         10        4         7         
Vardenis813      Pavardenis813      9         6         4         7         4         4         
Vardenis814      Pavardenis814      5         7         1         5         8         7         
Vardenis815      Pavardenis815      1         1         5         7         5         5         
Vardenis816      Pavardenis816      10        5         9         8         1         10        
Vardenis817      Pavardenis817      3         8         7         8         9         10        
Vardenis818      Pavardenis818      3         5         6         3         8         9         
Vardenis819      Pavardenis819      9         8         4         6         5         6         
Vardenis820      Pavardenis820      3         1         8         4         8         5         
Vardenis821      Pavardenis821      1         2         1         9         1         8         
Vardenis822      Pavardenis822      3         5         3         9         5         9         
Vardenis823      Pavardenis823      9         2         10        9         8         7         
Vardenis824      Pavardenis824      8         5         7         10        1         1         
Vardenis825      Pavardenis825      8         7         5         8         3         4         
Vardenis826      Pavardenis826      5         10        9         8         4         10        
Vardenis827      Pavardenis827      7         6         4         2         5         6         
Vardenis828      Pavardenis828      4         2         9         7         5         10        
Vardenis829      Pavardenis829      4         3         2         1         6         9         
Vardenis830      Pavardenis830      1         6         1         2         1         7         
Vardenis831      Pavardenis831      6         8         9         1         8         6         
Vardenis832      Pavardenis832      2         10        1         9         2         2         
Vardenis833      Pavardenis833      4         4         8         5         1         10        
Vardenis834      Pavardenis834      3         7         8         4         4         9         
Vardenis835      Pavardenis835      10        5         6         5         10        9         
Vardenis836      Pavardenis836      3         9         9         10        10        8         
Vardenis837      Pavardenis837      8         4         1         3         9         7         
Vardenis838      Pavardenis838      2         9         3         2         8         10        
Vardenis839      Pavardenis839      3         4         9         2         3         10        
Vardenis840      Pavardenis840      7         5         10        3         8         10        
Vardenis841      Pavardenis841      9         2         6         10        1         1         
Vardenis842      Pavardenis842      7         6         3         6         6         7         
Vardenis843      Pavardenis843      5         10        1         8         1         9         
Vardenis844      Pavardenis844      6         10        2         9         5         6         
Vardenis845      Pavardenis845      2         6         3         6         4         1         
Vardenis846      Pavardenis846      1         9         2         10        10        3         
Vardenis847      Pavardenis847      4         10        10        7         1         4         
Vardenis848      Pavardenis848      7         9         9         3         10        10        
Vardenis849      Pavardenis849      3         7         6         9         8         2         
Vardenis850      Pavardenis850      6         6         3         10        3         9         
Vardenis851      Pavardenis851      2         3         1         8         9         8         
Vardenis852      Pavardenis852      5         4         6         4         6         4         
Vardenis853      Pavardenis853      2         10        4         9         3         3         
Vardenis854      Pavardenis854      1         1         1         1         6         3         
Vardenis855      Pavardenis855      3         8         9         6         3         7         
Vardenis856      Pavardenis856      7         6         6         8         8         5         
Vardenis857      Pavardenis857      3         10        3         2         8         10        
Vardenis858      Pavardenis858      5         4         7         9         2         2         
Vardenis859      Pavardenis859      3         4         7         1         9         1         
Vardenis860      Pavardenis860      8         6         4         8         2         3         
Vardenis861      Pavardenis861      7         2         1         8         5         7         
Vardenis862      Pavardenis862      6         9         8         10        6         8         
Vardenis863      Pavardenis863      8         4         6         6         6         1         
Vardenis864      Pavardenis864      10        4         2         10        6         5         
Vardenis865      Pavardenis865      5         8         2         4         10        10        
Vardenis866      Pavardenis866      2         8         2         1         4         8         
Vardenis867      Pavardenis867      4         5         8         1         3         6         
Vardenis868      Pavardenis868      2         6         10        5         3         5         
Vardenis869      Pavardenis869      4         4         5         5         6         10        
Vardenis870      Pavardenis870      5         5         8         5         4         4         
Vardenis871      Pavardenis871      2         6         5         2         3         8         
Vardenis872      Pavardenis872      4         10        3         4         3         6         
Vardenis873      Pavardenis873      10        2         4         4         4         9         
Vardenis874      Pavardenis874      6         8         5         1         5         8         
Vardenis875      Pavardenis875      5         1         10        5         6         4         
Vardenis876      Pavardenis876      6         2         8         6         1         6         
Vardenis877      Pavardenis877      9         7         8         7         6         5         
Vardenis878      Pavardenis878      6         8         2         8         10        10        
Vardenis879      Pavardenis879      4         2         7         5         10        8         
Vardenis880      Pavardenis880      5         1         10        8         8         8         
Vardenis881      Pavardenis881      4         6         1         3         9         6         
Vardenis882      Pavardenis882      7         7         2         6         8         1         
Vardenis883      Pavardenis883      6         9         1         9         9         2         
Vardenis884      Pavardenis884      6         10        3         6         9         3         
Vardenis885      Pavardenis885      3         4         7         2         6         7         
Vardenis886      Pavardenis886      1         9         2         5         5         3         
Vardenis887      Pavardenis887      2         10        6         3         9         2         
Vardenis888      Pavardenis888      9         10        7         10        3         10        
Vardenis889      Pavardenis889      6         8         8         10        3         2         
Vardenis890      Pavardenis890      8         1         1         7         9         5         
Vardenis891      Pavardenis891      10        6         8         1         10        10        
Vardenis892      Pavardenis892      2         1         3         9         7         2         
Vardenis893      Pavardenis893      2         8         3         9         7         5         
Vardenis894      Pavardenis894      6         10        9         9         1         9         
Vardenis895      Pavardenis895      3         2         2         8         10        6         
Vardenis896      Pavardenis896      3         1         5         8         8         4         
Vardenis897      Pavardenis897      1         7         4         5         1         7         
Vardenis898      Pavardenis898      3         5         5         7         3         8         
Vardenis899      Pavardenis899      10        3         10        8         6         1         
Vardenis900      Pavardenis900      8         1         8         2         1         6         
Vardenis901      Pavardenis901      7         3         1         4         8         5         
Vardenis902      Pavardenis902      9         7         5         5         4         1         
Vardenis903      Pavardenis903      10        10        7         2         7         5         
Vardenis904      Pavardenis904      10        3         3         9         2         9         
Vardenis905      Pavardenis905      7         5         1         9         8         7         
Vardenis906      Pavardenis906      5         7         2         4         5         4         
Vardenis907      Pavardenis907      8         10        10        4         2         3         
Vardenis908      Pavardenis908      8         9         10        4         8         1         
Vardenis909      Pavardenis909      5         7         7         10        6         1         
Vardenis910      Pavardenis910      2         10        5         7         1         7         
Vardenis911      Pavardenis911      4         2         7         1         4         9         
Vardenis912      Pavardenis912      5         10        4         4         2         3         
Vardenis913      Pavardenis913      7         6         1         8         5         7         
Vardenis914      Pavardenis914      1         4         2         7         2         7         
Vardenis915      Pavardenis915      2         6         6         7         7         7         
Vardenis916      Pavardenis916      4         8         4         4         3         9         
Vardenis917      Pavardenis917      8         6         2         9         8         6         
Vardenis918      Pavardenis918      10        1         4         1         6         10        
Vardenis919      Pavardenis919      3         3         7         1         2         5         
Vardenis920      Pavardenis920      10        7         8         5         9         1         
Vardenis921      Pavardenis921      5         5         2         1         8         9         
Vardenis922      Pavardenis922      7         9         4         9         1         10        
Vardenis923      Pavardenis923      1         2         5         7         10        3         
Vardenis924      Pavardenis924      5         3         2         6         7         1         
Vardenis925      Pavardenis925      8         3         1         5         1         1         
Vardenis926      Pavardenis926      5         10        2         5         7         6         
Vardenis927      Pavardenis927      9         4         5         7         4         9         
Vardenis928      Pavardenis928      5         1         10        10        5         3         
Vardenis929      Pavardenis929      5         5         3         5         6         8         
Vardenis930      Pavardenis930      6         8         2         7         1         8         
Vardenis931      Pavardenis931      3         3         3         10        10        1         
Vardenis932      Pavardenis932      2         9         8         8         5         1         
Vardenis933      Pavardenis933      9         2         1         5         9         10        
Vardenis934      Pavardenis934      5         6         7         8         1         6         
Vardenis935      Pavardenis935      3         6         10        9         7         7         
Vardenis936      Pavardenis936      10        4         10        8         10        10        
Vardenis937      Pavardenis937      8         10        1         7         1         6         
Vardenis938      Pavardenis938      10        3         9         5         5         10        
Vardenis939      Pavardenis939      7         8         8         1         2         1         
Vardenis940      Pavardenis940      9         2         7         8         1         6         
Vardenis941      Pavardenis941      10        10        9         10        8         3         
Vardenis942      Pavardenis942      3         4         2         7         2         1         
Vardenis943      Pavardenis943      3         6         4         6         2         8         
Vardenis944      Pavardenis944      2         1         4         1         7         1         
Vardenis945      Pavardenis945      7         7         7         5         7         9         
Vardenis946      Pavardenis946      10        7         10        9         5         5         
Vardenis947      Pavardenis947      1         8         8         1         4         10        
Vardenis948      Pavardenis948      7         5         5         2         9         9         
Vardenis949      Pavardenis949      7         4         2         3         10        5         
Vardenis950      Pavardenis950      3         3         1         8         7         4         
Vardenis951      Pavardenis951      10        2         7         7         2         6         
Vardenis952      Pavardenis952      9         4         6         5         5         4         
Vardenis953      Pavardenis953      4         7         3         5         6         2         
Vardenis954      Pavardenis954      4         7         8         7         9         10        
Vardenis955      Pavardenis955      1         8         10        4         6         6         
Vardenis956      Pavardenis956      4         1         10        1         6         7         
Vardenis957      Pavardenis957      1         10        8         7         3         6         
Vardenis958      Pavardenis958      7         3         10        3         8         2         
Vardenis959      Pavardenis959      6         1         1         1         5         9         
Vardenis960      Pavardenis960      5         9         5         1         5         10        
Vardenis961      Pavardenis961      4         9         9         4         2         8         
Vardenis962      Pavardenis962      3         5         8         4         10        6         
Vardenis963      Pavardenis963      10        3         1         9         8         7         
Vardenis964      Pavardenis964      4         10        9         8         9         10        
Vardenis965      Pavardenis965      9         5         5         8         4         2         
Vardenis966      Pavardenis966      10        6         7         1         9         1         
Vardenis967      Pavardenis967      6         5         10        9         5         9         
Vardenis968      Pavardenis968      8         4         5         7         6         6         
Vardenis969      Pavardenis969      7         1         5         1         2         3         
Vardenis970      Pavardenis970      5         6         3         8         3         5         
Vardenis971      Pavardenis971      10        1         1         2         2         7         
Vardenis972      Pavardenis972      4         4         3         7         5         7         
Vardenis973      Pavardenis973      6         10        5         7         3         3         
Vardenis974      Pavardenis974      3         3         4         8         2         3         
Vardenis975      Pavardenis975      4         1         2         2         10        10        
Vardenis976      Pavardenis976      8         9         5         8         6         6         
Vardenis977      Pavardenis977      1         1         6         9         1         4         
Vardenis978      Pavardenis978      3         6         5         3         3         7         
Vardenis979      Pavardenis979      7         8         10        9         8         1         
Vardenis980      Pavardenis980      3         5         9         1         4         9         
Vardenis981      Pavardenis981      3         10        7         8         9         2         
Vardenis982      Pavardenis982      7         1         5         9         6         8         
Vardenis983      Pavardenis983      5         9         7         6         2         1         
Vardenis984      Pavardenis984      2         6         5         3         6         2         
Vardenis985      Pavardenis985      9         8         8         4         7         9         
Vardenis986      Pavardenis986      5         1         6         3         9         9         
Vardenis987      Pavardenis987      6         5         10        7         10        1         
Vardenis988      Pavardenis988      3         1         6         5         3         1         
Vardenis989      Pavardenis989      7         2         9         2         7         6         
Vardenis990      Pavardenis990      8         9         6         8         4         8         
Vardenis991      Pavardenis991      3         7         1         4         5         9         
Vardenis992      Pavardenis992      2         5         10        1         1         2         
Vardenis993      Pavardenis993      8         1         10        1         9         3         
Vardenis994      Pavardenis994      10        10        3         3         4         5         
Vardenis995      Pavardenis995      4         3         4         3         1         2         
